cf,pa,ef,cha,temporalidad,ace, sa , productores_atendidos
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),San Luis Potosí,Maíz,Segundo Trimestre,Control Químico,598,66
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Sinaloa,Maíz,Segundo Trimestre,Control Biológico,6997,353
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Sinaloa,Maíz,Segundo Trimestre,Control Etológico,25,1
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Sinaloa,Maíz,Segundo Trimestre,Control Químico,1824,202
Manejo Fitosanitario del Maíz,Gusano elotero (Helicoverpa zea),Sinaloa,Maíz,Segundo Trimestre,Control Biológico,17548,807
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Sonora,Maíz,Segundo Trimestre,Control Biológico,120,3
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Sonora,Maíz,Segundo Trimestre,Control Etológico,46,4
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Tabasco,Maíz,Segundo Trimestre,Control Biológico,205,25
Manejo Fitosanitario del Maíz,Gusano elotero (Helicoverpa zea),Tabasco,Maíz,Segundo Trimestre,Control Biológico,452.5,39
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Veracruz,Maíz,Segundo Trimestre,Control Biológico,51,17
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Veracruz,Maíz,Segundo Trimestre,Control Químico,27,15
Manejo Fitosanitario del Maíz,Gusano elotero (Helicoverpa zea),Veracruz,Maíz,Segundo Trimestre,Control Biológico,204,67
Manejo Fitosanitario del Maíz,Gusano cogollero (Spodoptera frugiperda),Yucatán,Maíz,Segundo Trimestre,Control Biológico,100,83
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Chiapas,Frijol,Segundo Trimestre,Control Biológico,105,46
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Chiapas,Frijol,Segundo Trimestre,Control Químico,114,38
Manejo Fitosanitario del Frijol,Roya del frijol (Uromyces phaseoli),Chiapas,Frijol,Segundo Trimestre,Control Químico,50,27
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Nayarit,Frijol,Segundo Trimestre,Control Químico,270,40
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Oaxaca,Frijol,Segundo Trimestre,Control Biológico,91,39
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Puebla,Frijol,Segundo Trimestre,Control Biológico,30,28
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Sinaloa,Frijol,Segundo Trimestre,Control Biológico,2575,148
Manejo Fitosanitario del Frijol,"Mosquita blanca (Bemisia tabaci, Bemisia argentifolii)",Sonora,Frijol,Segundo Trimestre,Control Biológico,9,1
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Baja California,Trigo Panificable,Segundo Trimestre,Control Biológico,400,20
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Coahuila,Trigo Panificable,Segundo Trimestre,Control Biológico,539,18
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Michoacán,Trigo Panificable,Segundo Trimestre,Control Biológico,1432,127
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Michoacán,Trigo Panificable,Segundo Trimestre,Control Químico,162,18
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Nuevo León,Trigo Panificable,Segundo Trimestre,Control Biológico,556,32
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Nuevo León,Trigo Panificable,Segundo Trimestre,Control Químico,406,28
Manejo Fitosanitario del Trigo,Roya lineal (Puccinia striiformis),Sinaloa,Trigo Panificable,Segundo Trimestre,Control Químico,5500,734
Manejo Fitosanitario del Trigo,Pulgón verde de los cereales (Schizaphis graminum),Sonora,Trigo Panificable,Segundo Trimestre,Control Biológico,2300,140
Manejo Fitosanitario del Trigo,"Rata de campo (Sigmodon mascotensis, Mus musculus y Sigmodon arizonae)",Sonora,Trigo Panificable,Segundo Trimestre,Control Químico,7200,22
Manejo Fitosanitario del Garbanzo,Gusano de la cápsula (Heliothis virescens),Sinaloa,Garbanzo,Segundo Trimestre,Control Biológico,200,19
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Colima,Aguacatero,Segundo Trimestre,Cultural y Químico,2,120
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Estado de México,Aguacatero,Segundo Trimestre,Cultural y Químico,69,130
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Jalisco ,Aguacatero,Segundo Trimestre,Cultural y Químico,182,152
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Michoacán,Aguacatero,Segundo Trimestre,Cultural y Químico,107,76
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Morelos,Aguacatero,Segundo Trimestre,Cultural y Químico,42,38
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Nayarit,Aguacatero,Segundo Trimestre,Cultural y Químico,453,207
Plagas Reglamentadas del Aguacatero ,"Barrenadores del hueso (Conotrachelus persea, C. agucatae, Heilipus lauri y Stenoma catenifer) y Barrenador de ramas (Macrocopturus aguacatae)",Puebla,Aguacatero,Segundo Trimestre,Cultural y Químico,131,109
Campaña contra Moko del Plátano,Moko del Plátano (Ralstonia solanacearum Raza 2); Fusarium sacchari,Chiapas,Plátano,Segundo Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),1390,14
Campaña contra Moko del Plátano,Foc R1 (Fusarium oxysporum f. sp. cubense Raza 1); Foc R2 (Fusarium oxysporum f. sp. cubense Raza 2); Fusarium sacchari ,Michoacán,Plátano,Segundo Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),61,3
Campaña contra Moko del Plátano,Foc R2 (Fusarium oxysporum f. sp. cubense Raza 2); Fusarium sacchari,Nayarit,Plátano,Segundo Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),7,2
Campaña contra Moko del Plátano,Moko del Plátano (Ralstonia solanacearum Raza 2); Fusarium sacchari,Tabasco,Plátano,Segundo Trimestre,Muestreo y Control Químico (manejo de focos de infección - acciones de erradicación),1931,24
Plagas Reglamentadas del Algodonero ,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Baja California,Algodón,Segundo Trimestre,Control Cultural  y Trampeo,192,9
Plagas Reglamentadas del Algodonero ,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Chihuahua,Algodón,Segundo Trimestre,Control Cultural  y Trampeo,29333,355
Plagas Reglamentadas del Algodonero ,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Coahuila,Algodón,Segundo Trimestre,"Control Cultural, Trampeo y Control Químico",139,18
Plagas Reglamentadas del Algodonero ,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Sonora,Algodón,Segundo Trimestre,Control Cultural  y Trampeo,1516,41
Plagas Reglamentadas del Algodonero ,Gusano rosado (Pectinophora gossypiella) y Picudo del algodonero (Anthonomus grandis),Tamaulipas,Algodón,Segundo Trimestre,"Control Cultural, Trampeo y Control Químico",2559,30
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Caña de azúcar,Segundo Trimestre,Control Químico,184,23
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Limón,Segundo Trimestre,Control Químico,2,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Maíz,Segundo Trimestre,Control Químico,22,4
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Palma de aceite,Segundo Trimestre,Control Químico,12,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Pasto,Segundo Trimestre,Control Químico,143,28
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Pasto,Segundo Trimestre,Control biológico,125,12
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Campeche,Sorgo,Segundo Trimestre,Control Químico,143,28
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Chiapas,Pasto,Segundo Trimestre,Control biológico,8,4
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Chiapas,Pasto,Segundo Trimestre,Control Químico,12,7
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Guerrero,Pasto,Segundo Trimestre,Control Químico,180,23
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Morelos,Pasto,Segundo Trimestre,Control Químico,170,21
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Caña de azúcar,Segundo Trimestre,Control Químico,32,3
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Pasto,Segundo Trimestre,Control Químico,75,15
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Pasto,Segundo Trimestre,Control biológico,4,1
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Oaxaca,Piña,Segundo Trimestre,Control Químico,96,10
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Aguacate,Segundo Trimestre,Control Químico,14,3
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Maíz,Segundo Trimestre,Control Químico,4,3
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Puebla,Sorgo,Segundo Trimestre,Control Químico,57,22
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosí,Caña de azúcar,Segundo Trimestre,Control Químico,589.5,73
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosí,Pastos ,Segundo Trimestre,Control Químico,22,2
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",San Luis Potosí,Sorgo,Segundo Trimestre,Control Químico,310,20
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Tabasco,Pasto,Segundo Trimestre,Control Químico,77,16
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Tamaulipas,Caña de azúcar,Segundo Trimestre,Control Químico,62,13
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Tamaulipas,Pastos,Segundo Trimestre,Control Químico,42,12
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Veracruz,Caña de azúcar,Segundo Trimestre,Control Químico,52,9
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Veracruz,Pasto,Segundo Trimestre,Control Químico,96,8
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Yucatán,Maíz,Segundo Trimestre,Control Químico,26,7
Campaña contra la Langosta centroamericana,"Langosta (Schistocerca piceifrons piceifrons, Walker 1870)",Yucatán,Pasto,Segundo Trimestre,Control Químico,27,8
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Limón ,Segundo Trimestre,Control Químico (Betaciflutrina),5,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Abamectina),63,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Abamectina + Tiametoxam),23.5,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Aceite Mineral),30,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Bifentrina),379.5,9
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Cipermetrina),212,7
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Clorpirifos + Aceite Mineral),75,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Clorpirifos Etil),470.5,10
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Dicofol),65,2
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Dimetotato),682,17
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Imidaclprid),988.5,21
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Lamda Cyhalotrina),70,2
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Baja California Sur,Naranja,Segundo Trimestre,Control Químico (Spiridiclofen),20,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Chiapas,Cítrico,Segundo Trimestre,Control Químico (Aceite mineral),1.3,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Chiapas,Limón ,Segundo Trimestre,Control Químico (Aceite mineral),1222.9,537
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Chiapas,Mandarina,Segundo Trimestre,Control Químico (Aceite mineral),3.5,3
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Chiapas,Naranja,Segundo Trimestre,Control Químico (Aceite mineral),84.3,67
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Jalisco,Lima,Segundo Trimestre,Control Químico (Thiametoxan),15.5,4
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Jalisco,Limón ,Segundo Trimestre,Control Químico (Thiametoxan),979,308
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Jalisco,Naranja ,Segundo Trimestre,Control Químico (Thiametoxan),35.5,12
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Michoacán,Lima,Segundo Trimestre,Control Químico (Ciantraniliprol),41,7
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Michoacán,Limón ,Segundo Trimestre,Control Químico (Ciantraniliprol),3154,613
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Michoacán,Toronja ,Segundo Trimestre,Control Químico (Ciantraniliprol),10,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nayarit,Lima,Segundo Trimestre,Control Químico (Aceite mineral),2,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nayarit,Lima,Segundo Trimestre,Control Químico (Flupyradifurone),6,3
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nayarit,Limón ,Segundo Trimestre,Control Químico (Aceite mineral),968,547
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nayarit,Limón ,Segundo Trimestre,Control Químico (Aceite vegetal),1,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Nayarit,Limón ,Segundo Trimestre,Control Químico (Flupyradifurone),596,289
Plagas de los Cítricos,Leprosis de los cítricos  (Citrus Leprosis Virus),Nayarit,Naranja ,Segundo Trimestre,Control Químico (Aceite mineral),2,1
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Oaxaca,Limón,Segundo Trimestre,Control Químico (Aceite mineral),656,101
Plagas de los Cítricos,Psílido Asiático de los Cítricos (Diaphorina citri),Oaxaca,Limón ,Segundo Trimestre,Control Químico (Aceite vegetal),15,1
